Ticker,Date,Open,High,Low,Close,Volume,Adj_Close,Change,Gain,Loss,AvgGain,AvgLoss,RS,RSI,EMA12,EMA26,MACD,Signal,Histogram
SJW,2016-07-15,38.919998,39.400002,38.830002,39.34,67600,38.978711,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-07-14,38.560001,39.00,38.200001,38.75,58300,38.394129,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-07-13,38.860001,38.98,38.41,38.580002,73400,38.225692,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-07-12,38.700001,38.779999,38.009998,38.599998,57700,38.245505,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-07-11,38.50,38.740002,37.75,38.59,44700,38.235599,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-07-08,38.299999,38.650002,37.639999,38.43,96700,38.077068,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-07-07,38.759998,38.790001,37.860001,38.130001,103700,37.779824,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-07-06,38.939999,39.209999,38.560001,38.75,55700,38.394129,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-07-05,38.299999,39.279999,38.290001,39.07,81200,38.71119,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-07-01,39.48,39.48,38.299999,38.400002,40700,38.047345,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-30,38.00,39.380001,37.950001,39.380001,82900,39.018344,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-29,38.25,38.459999,38.00,38.099998,55500,37.750097,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-28,37.560001,38.119999,37.32,37.959999,82700,37.611383,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-27,36.50,37.970001,36.50,37.77,118000,37.42313,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-24,36.419998,37.299999,36.299999,36.880001,201500,36.541304,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-23,37.09,37.299999,36.73,37.200001,58300,36.858365,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-22,37.25,37.25,36.709999,36.990002,73400,36.650294,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-21,37.549999,37.549999,36.950001,37.259998,65100,36.917811,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-20,37.66,38.169998,37.310001,37.41,88300,37.066435,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-17,38.610001,38.610001,36.900002,37.34,390200,36.997078,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-16,37.57,38.43,36.889999,38.400002,67300,38.047345,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-15,38.32,38.32,37.119999,37.540001,108100,37.195242,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-14,37.860001,38.25,37.540001,38.029999,94000,37.68074,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-13,37.959999,38.50,37.669998,37.810001,132700,37.462763,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-10,36.369999,37.68,36.349998,37.669998,111800,37.324046,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-09,35.779999,36.50,35.57,36.50,61300,36.164793,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-08,35.240002,35.700001,35.07,35.700001,44700,35.37214,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-07,35.130001,35.48,34.950001,35.23,50200,34.906456,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-06,35.00,35.150002,34.849998,35.07,83600,34.747925,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-03,34.709999,35.200001,34.650002,35.049999,53500,34.728108,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-02,34.900002,35.060001,34.189999,34.639999,36900,34.321874,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-06-01,34.57,34.970001,34.080002,34.970001,60600,34.648845,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-05-31,34.41,35.48,33.740002,34.490002,147100,34.173254,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-05-27,34.450001,34.580002,34.259998,34.400002,29300,34.08408,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-05-26,33.990002,34.57,33.599998,34.529999,60500,34.212883,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-05-25,34.529999,35.060001,33.799999,33.880001,64100,33.568855,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-05-24,33.279999,34.799999,33.240002,34.689999,102500,34.371414,0,0,0,0,0,0,0,0,0,0,0,0
