No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,No2,Ticker2,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Change from Open,Gap,Volume
54,LC,LendingClub Corporation,Financial,Credit Services,USA,2128.56,,5.26,-0.94%,4240187,54,LC,,0.24,-6.64%,-8.69%,-1.80%,-43.80%,52.91%,39.67,5.26,-0.94%,-2.05%,1.13%,4240187
55,WRI,Weingarten Realty Investors,Financial,REIT - Retail,USA,4088.43,17,31.74,1.18%,1337984,55,WRI,0.73,0.67,-8.52%,-9.71%,-14.29%,-25.14%,1.96%,25.8,31.74,1.18%,0.83%,0.35%,1337984
56,GPT,"Gramercy Property Trust, Inc.",Financial,REIT - Diversified,USA,3621.4,300.12,25.51,0.55%,811604,56,GPT,0.58,0.51,-6.23%,-2.16%,92.02%,-10.62%,246.97%,28.45,25.51,0.55%,0.71%,-0.16%,811604
57,RPAI,"Retail Properties of America, Inc.",Financial,REIT - Retail,USA,3413.8,21.48,14.22,2.01%,2531376,57,RPAI,0.46,0.31,-5.71%,-5.82%,-9.62%,-18.33%,2.45%,32.79,14.22,2.01%,1.28%,0.72%,2531376
58,AHT,"Ashford Hospitality Trust, Inc.",Financial,REIT - Hotel/Motel,USA,587.94,,6.07,-0.16%,572328,58,AHT,1.44,0.25,-13.04%,-18.50%,-4.52%,-26.25%,34.55%,25.42,6.07,-0.16%,0.00%,-0.16%,572328
59,MHLD,"Maiden Holdings, Ltd.",Financial,Property & Casualty Insurance,Bermuda,1250.78,80,14.4,-1.37%,406547,59,MHLD,1.16,0.51,-11.92%,-16.40%,-2.78%,-24.01%,23.71%,21.36,14.4,-1.37%,-1.37%,0.00%,406547
60,SNR,New Senior Investment Group Inc.,Financial,REIT - Diversified,USA,797.63,,9.58,0.00%,736590,60,SNR,,0.21,-5.27%,-4.07%,-5.91%,-18.83%,14.85%,31.05,9.58,0.00%,0.63%,-0.63%,736590
61,MBI,MBIA Inc.,Financial,Property & Casualty Insurance,USA,1247.2,,9.32,0.54%,1150747,61,MBI,2.41,0.29,-8.26%,-11.75%,5.80%,-20.00%,47.00%,30.29,9.32,0.54%,0.87%,-0.32%,1150747
62,SPG,"Simon Property Group, Inc.",Financial,REIT - Retail,USA,54321.55,28.73,168.69,0.31%,2616177,62,SPG,0.61,3.3,-6.41%,-6.54%,-12.97%,-24.40%,0.66%,28.93,168.69,0.31%,-0.18%,0.49%,2616177
63,CBL,"CBL & Associates Properties, Inc.",Financial,REIT - Retail,USA,1604.77,12.55,9.4,1.29%,2412509,63,CBL,1.23,0.32,-7.58%,-11.14%,-14.16%,-31.25%,12.76%,32.4,9.4,1.29%,1.18%,0.11%,2412509
64,NAVI,Navient Corporation,Financial,Credit Services,USA,4205.14,6.83,14.51,-0.07%,1511270,64,NAVI,,0.35,-4.01%,-6.53%,0.86%,-17.55%,36.48%,30.25,14.51,-0.07%,-0.27%,0.21%,1511270
65,GGP,GGP Inc.,Financial,REIT - Retail,USA,20601.78,17.45,23.28,1.00%,6479697,65,GGP,0.81,0.47,-5.75%,-6.45%,-14.02%,-27.48%,1.84%,32.11,23.28,1.00%,0.69%,0.30%,6479697
66,SRC,"Spirit Realty Capital, Inc.",Financial,REIT - Diversified,USA,4922.97,105,10.08,-0.30%,4438676,66,SRC,0.6,0.22,-5.97%,-6.34%,-13.44%,-25.64%,0.20%,27.46,10.08,-0.30%,-0.30%,0.00%,4438676
67,ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,27850.7,70.87,124.74,-2.02%,1459714,67,ALXN,1.33,3.26,-4.31%,-4.78%,-2.57%,-23.00%,14.31%,35.91,124.74,-2.02%,-1.73%,-0.29%,1459714
68,ENDP,Endo International plc,Healthcare,Drug Manufacturers - Other,Ireland,2377.99,,10.67,-1.39%,6014883,68,ENDP,0.62,0.65,-14.02%,-19.16%,-37.55%,-74.95%,2.69%,31.23,10.67,-1.39%,-1.20%,-0.18%,6014883
69,PRGO,Perrigo Company plc,Healthcare,Drug Related Products,Ireland,9962.9,,70.29,-1.31%,1363299,69,PRGO,0.69,2.32,-10.22%,-10.43%,-19.61%,-49.68%,1.87%,30.67,70.29,-1.31%,-1.08%,-0.22%,1363299
70,IPXL,"Impax Laboratories, Inc.",Healthcare,Drug Manufacturers - Major,USA,682.46,,9.05,2.26%,1551900,70,IPXL,1.28,0.9,-25.62%,-28.44%,-57.12%,-75.67%,16.77%,32.93,9.05,2.26%,1.69%,0.56%,1551900
71,PTCT,"PTC Therapeutics, Inc.",Healthcare,Biotechnology,USA,358.52,,10.76,1.13%,932927,71,PTCT,1.39,0.83,-11.87%,-16.70%,8.41%,-34.79%,167.00%,36.94,10.76,1.13%,2.67%,-1.50%,932927
72,HZNP,Horizon Pharma Public Limited Company,Healthcare,Drugs - Generic,Ireland,2456.22,,15.22,-1.17%,1763116,72,HZNP,1.8,0.56,-6.70%,-8.21%,-15.90%,-35.07%,16.63%,36.81,15.22,-1.17%,-0.72%,-0.45%,1763116
73,ALR,Alere Inc.,Healthcare,Medical Laboratories & Research,USA,3327.41,,37.76,-0.63%,260642,73,ALR,0.59,0.75,-3.75%,-3.59%,-6.69%,-29.84%,19.99%,36.46,37.76,-0.63%,-0.74%,0.11%,260642
74,MNTA,"Momenta Pharmaceuticals, Inc.",Healthcare,Drugs - Generic,USA,1023.68,,14,-1.06%,649285,74,MNTA,1.77,0.72,-13.42%,-13.77%,5.97%,-29.65%,78.12%,31.36,14,-1.06%,-1.75%,0.71%,649285
75,TASR,"TASER International, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,1186.35,70.4,22.81,0.80%,823752,75,TASR,0.62,0.7,-8.67%,-9.02%,-10.72%,-24.34%,32.77%,31.89,22.81,0.80%,1.06%,-0.27%,823752
76,CSTM,Constellium N.V,Industrial Goods,Metal Fabrication,Netherlands,740.12,,6.3,2.44%,2994831,76,CSTM,0.68,0.53,-20.60%,-14.27%,1.53%,-28.81%,56.72%,32.06,6.3,2.44%,3.28%,-0.81%,2994831
77,TGI,"Triumph Group, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,1241.91,,24.5,0.62%,555513,77,TGI,1.5,0.9,-8.40%,-8.06%,-17.74%,-38.63%,9.70%,31.91,24.5,0.62%,0.62%,0.00%,555513
78,DKS,"Dick's Sporting Goods, Inc.",Services,Sporting Goods Stores,USA,5273.78,18.45,47.29,-3.17%,4939569,78,DKS,0.55,1.71,-5.30%,-8.12%,-10.66%,-24.43%,26.09%,39.36,47.29,-3.17%,-3.17%,0.00%,4939569
79,KBR,"KBR, Inc.",Services,Technical Services,USA,2057.45,,14.42,-2.30%,1889578,79,KBR,1.34,0.43,-8.54%,-12.40%,-6.03%,-19.30%,20.58%,29.24,14.42,-2.30%,-2.17%,-0.14%,1889578
80,YRCW,YRC Worldwide Inc.,Services,Trucking,USA,388.66,18.16,11.64,0.26%,394786,80,YRCW,3.61,0.57,-9.04%,-14.09%,-2.21%,-31.41%,47.16%,35.01,11.64,0.26%,-0.09%,0.34%,394786
81,NWSA,News Corporation,Services,Broadcasting - TV,USA,7235.25,,12.28,-0.81%,1704580,81,NWSA,2,0.29,-5.26%,-1.18%,-1.95%,-16.35%,17.39%,38.48,12.28,-0.81%,0.24%,-1.05%,1704580
82,UAL,"United Continental Holdings, Inc.",Services,Major Airlines,USA,22036.98,9.33,69.85,-3.44%,6730662,82,UAL,0.68,1.95,-5.97%,-5.00%,19.56%,-9.05%,86.71%,36.39,69.85,-3.44%,-3.24%,-0.21%,6730662
83,SONC,Sonic Corp.,Services,Restaurants,USA,1021.01,17.86,23.45,-0.42%,834760,83,SONC,1.44,0.6,-8.12%,-8.83%,-11.85%,-34.25%,12.32%,27.84,23.45,-0.42%,-0.38%,-0.04%,834760
