No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Change from Open,Gap,Volume
51,KRG,Kite Realty Group Trust,Financial,REIT - Retail,USA,1721.4,1449.29,20.29,1.30%,999774,0.64,0.49,-9.95%,-12.58%,-20.53%,-31.77%,1.91%,21.46,20.29,1.30%,-0.10%,1.40%,999774
50,PEI,Pennsylvania Real Estate Investment Trust,Financial,REIT - Retail,USA,1040.28,,14.76,1.30%,2455551,1.36,0.5,-10.43%,-15.17%,-27.34%,-40.62%,2.43%,26.9,14.76,1.30%,1.30%,0.00%,2455551
57,RPAI,"Retail Properties of America, Inc.",Financial,REIT - Retail,USA,3413.8,21.48,14.22,2.01%,2531376,0.46,0.31,-5.71%,-5.82%,-9.62%,-18.33%,2.45%,32.79,14.22,2.01%,1.28%,0.72%,2531376
62,SPG,"Simon Property Group, Inc.",Financial,REIT - Retail,USA,54321.55,28.73,168.69,0.31%,2616177,0.61,3.3,-6.41%,-6.54%,-12.97%,-24.40%,0.66%,28.93,168.69,0.31%,-0.18%,0.49%,2616177
55,WRI,Weingarten Realty Investors,Financial,REIT - Retail,USA,4088.43,17,31.74,1.18%,1337984,0.73,0.67,-8.52%,-9.71%,-14.29%,-25.14%,1.96%,25.8,31.74,1.18%,0.83%,0.35%,1337984
67,ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,27850.7,70.87,124.74,-2.02%,1459714,1.33,3.26,-4.31%,-4.78%,-2.57%,-23.00%,14.31%,35.91,124.74,-2.02%,-1.73%,-0.29%,1459714
71,PTCT,"PTC Therapeutics, Inc.",Healthcare,Biotechnology,USA,358.52,,10.76,1.13%,932927,1.39,0.83,-11.87%,-16.70%,8.41%,-34.79%,167.00%,36.94,10.76,1.13%,2.67%,-1.50%,932927
70,IPXL,"Impax Laboratories, Inc.",Healthcare,Drug Manufacturers - Major,USA,682.46,,9.05,2.26%,1551900,1.28,0.9,-25.62%,-28.44%,-57.12%,-75.67%,16.77%,32.93,9.05,2.26%,1.69%,0.56%,1551900
68,ENDP,Endo International plc,Healthcare,Drug Manufacturers - Other,Ireland,2377.99,,10.67,-1.39%,6014883,0.62,0.65,-14.02%,-19.16%,-37.55%,-74.95%,2.69%,31.23,10.67,-1.39%,-1.20%,-0.18%,6014883
69,PRGO,Perrigo Company plc,Healthcare,Drug Related Products,Ireland,9962.9,,70.29,-1.31%,1363299,0.69,2.32,-10.22%,-10.43%,-19.61%,-49.68%,1.87%,30.67,70.29,-1.31%,-1.08%,-0.22%,1363299
72,HZNP,Horizon Pharma Public Limited Company,Healthcare,Drugs - Generic,Ireland,2456.22,,15.22,-1.17%,1763116,1.8,0.56,-6.70%,-8.21%,-15.90%,-35.07%,16.63%,36.81,15.22,-1.17%,-0.72%,-0.45%,1763116
74,MNTA,"Momenta Pharmaceuticals, Inc.",Healthcare,Drugs - Generic,USA,1023.68,,14,-1.06%,649285,1.77,0.72,-13.42%,-13.77%,5.97%,-29.65%,78.12%,31.36,14,-1.06%,-1.75%,0.71%,649285
73,ALR,Alere Inc.,Healthcare,Medical Laboratories & Research,USA,3327.41,,37.76,-0.63%,260642,0.59,0.75,-3.75%,-3.59%,-6.69%,-29.84%,19.99%,36.46,37.76,-0.63%,-0.74%,0.11%,260642
75,TASR,"TASER International, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,1186.35,70.4,22.81,0.80%,823752,0.62,0.7,-8.67%,-9.02%,-10.72%,-24.34%,32.77%,31.89,22.81,0.80%,1.06%,-0.27%,823752
77,TGI,"Triumph Group, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,1241.91,,24.5,0.62%,555513,1.5,0.9,-8.40%,-8.06%,-17.74%,-38.63%,9.70%,31.91,24.5,0.62%,0.62%,0.00%,555513
76,CSTM,Constellium N.V,Industrial Goods,Metal Fabrication,Netherlands,740.12,,6.3,2.44%,2994831,0.68,0.53,-20.60%,-14.27%,1.53%,-28.81%,56.72%,32.06,6.3,2.44%,3.28%,-0.81%,2994831
81,NWSA,News Corporation,Services,Broadcasting - TV,USA,7235.25,,12.28,-0.81%,1704580,2,0.29,-5.26%,-1.18%,-1.95%,-16.35%,17.39%,38.48,12.28,-0.81%,0.24%,-1.05%,1704580
91,RRD,R.R. Donnelley & Sons Company,Services,Business Services,USA,974.11,,13.55,-4.17%,2036002,1.52,0.71,-20.26%,-20.05%,-20.25%,-44.10%,-3.21%,24.86,13.55,-4.17%,-3.90%,-0.28%,2036002
88,SCOR,"comScore, Inc.",Services,Business Services,USA,1262.04,,22.07,4.41%,211105,,1.08,-4.38%,-21.10%,-24.10%,-36.66%,6.07%,33.39,22.07,4.41%,4.12%,0.28%,211105
90,JCP,"J. C. Penney Company, Inc.",Services,Department Stores,USA,1829.29,,5.99,-5.82%,22405982,0.72,0.29,-9.89%,-13.70%,-30.23%,-49.45%,2.04%,36.16,5.99,-5.82%,-6.11%,0.31%,22405982
92,FRED,"Fred's, Inc.",Services,"Discount, Variety Stores",USA,535.18,,14.78,-2.51%,699148,1.72,0.8,-11.67%,-9.55%,11.28%,-31.88%,89.14%,37.7,14.78,-2.51%,-2.18%,-0.33%,699148
84,KR,The Kroger Co.,Services,Grocery Stores,USA,26924.13,13.79,28.69,-0.45%,9082558,0.78,0.72,-9.79%,-12.75%,-13.24%,-25.82%,0.66%,24.85,28.69,-0.45%,-0.49%,0.03%,9082558
86,AAL,American Airlines Group Inc.,Services,Major Airlines,USA,21802.5,8.87,42.37,-3.49%,8851238,,1.21,-8.09%,-8.58%,6.68%,-16.14%,71.83%,32.62,42.37,-3.49%,-3.11%,-0.39%,8851238
89,DAL,"Delta Air Lines, Inc.",Services,Major Airlines,USA,34972.24,8.19,47.35,-1.17%,6966011,0.86,1.03,-4.81%,-4.22%,10.17%,-9.90%,47.30%,36.57,47.35,-1.17%,-1.15%,-0.02%,6966011
82,UAL,"United Continental Holdings, Inc.",Services,Major Airlines,USA,22036.98,9.33,69.85,-3.44%,6730662,0.68,1.95,-5.97%,-5.00%,19.56%,-9.05%,86.71%,36.39,69.85,-3.44%,-3.24%,-0.21%,6730662
93,GCI,"Gannett Co., Inc.",Services,Publishing - Newspapers,USA,907.57,18.05,7.98,0.88%,720412,,0.3,-5.50%,-11.79%,-25.84%,-52.15%,13.42%,32.81,7.98,0.88%,1.01%,-0.13%,720412
83,SONC,Sonic Corp.,Services,Restaurants,USA,1021.01,17.86,23.45,-0.42%,834760,1.44,0.6,-8.12%,-8.83%,-11.85%,-34.25%,12.32%,27.84,23.45,-0.42%,-0.38%,-0.04%,834760
85,BKS,"Barnes & Noble, Inc.",Services,"Specialty Retail, Other",USA,630.34,127.54,8.8,2.33%,1086344,2.24,0.4,-10.73%,-15.23%,-21.17%,-33.67%,4.14%,32.96,8.8,2.33%,2.33%,0.00%,1086344
87,ETSY,"Etsy, Inc.",Services,"Specialty Retail, Other",USA,1157.46,,10.05,3.40%,1940186,,0.49,-14.13%,-17.57%,-17.77%,-37.38%,32.24%,30.18,10.05,3.40%,3.18%,0.21%,1940186
