"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume","No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
45,"ENDP","Endo International plc","Healthcare","Drug Manufacturers - Other","Ireland",2399.05,,10.76,0.94%,12276400,45,"ENDP",0.60,0.63,-10.27%,-15.51%,-36.66%,-69.55%,9.57%,37.18,10.76,0.94%,0.56%,0.38%,12276400
46,"HZNP","Horizon Pharma Public Limited Company","Healthcare","Drugs - Generic","Ireland",2456.05,,15.13,-1.50%,2290300,46,"HZNP",1.79,0.54,-5.69%,-8.30%,-16.28%,-35.45%,15.94%,37.83,15.13,-1.50%,-1.11%,-0.39%,2290300
47,"ALXN","Alexion Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",27420.39,69.36,122.08,-0.27%,2441100,47,"ALXN",1.33,3.03,-5.44%,-6.79%,-4.24%,-24.64%,11.88%,32.94,122.08,-0.27%,-0.80%,0.54%,2441100
48,"PRGO","Perrigo Company plc","Healthcare","Drug Related Products","Ireland",9964.22,,69.50,-1.93%,2873400,48,"PRGO",0.68,2.09,-8.62%,-10.22%,-20.05%,-47.75%,1.18%,33.32,69.50,-1.93%,-1.71%,-0.23%,2873400
49,"MNK","Mallinckrodt Public Limited Company","Healthcare","Drugs - Generic","United Kingdom",4910.43,27.30,46.90,-2.19%,1969900,49,"MNK",1.50,1.66,-8.90%,-6.85%,-23.33%,-45.36%,9.91%,35.57,46.90,-2.19%,-2.01%,-0.19%,1969900
50,"ESRX","Express Scripts Holding Company","Healthcare","Health Care Plans","USA",39426.31,11.98,65.09,0.40%,7043500,50,"ESRX",0.92,1.27,-6.09%,-6.59%,-10.31%,-18.66%,0.99%,30.75,65.09,0.40%,-0.15%,0.56%,7043500
51,"IPXL","Impax Laboratories, Inc.","Healthcare","Drug Manufacturers - Major","USA",693.16,,9.40,-1.57%,2875473,51,"IPXL",1.24,0.80,-15.94%,-23.79%,-54.42%,-74.73%,21.29%,37.99,9.40,-1.57%,-1.05%,-0.52%,2875473
52,"PTCT","PTC Therapeutics, Inc.","Healthcare","Biotechnology","USA",313.11,,9.06,2.49%,3697200,52,"PTCT",1.36,0.90,-22.57%,-29.44%,-9.12%,-45.09%,124.81%,31.72,9.06,2.49%,1.68%,0.79%,3697200
53,"XON","Intrexon Corporation","Healthcare","Biotechnology","USA",2492.14,,20.99,-1.82%,2238900,53,"XON",1.47,0.98,-6.88%,-8.24%,-19.52%,-46.85%,3.91%,39.80,20.99,-1.82%,-0.52%,-1.31%,2238900
54,"PETX","Aratana Therapeutics, Inc.","Healthcare","Biotechnology","USA",195.82,,5.24,-2.60%,788400,54,"PETX",3.46,0.38,-18.97%,-25.91%,-32.29%,-51.16%,30.67%,29.39,5.24,-2.60%,-2.06%,-0.56%,788400
55,"MNTA","Momenta Pharmaceuticals, Inc.","Healthcare","Drugs - Generic","USA",987.94,,13.75,-0.72%,1784700,55,"MNTA",1.77,0.64,-9.30%,-14.82%,3.66%,-30.90%,74.94%,32.86,13.75,-0.72%,0.73%,-1.44%,1784700
56,"MWA","Mueller Water Products, Inc.","Industrial Goods","Industrial Equipment & Components","USA",1960.10,31.30,12.08,-0.17%,2409200,56,"MWA",1.24,0.28,-2.95%,-5.94%,-2.00%,-14.66%,34.57%,38.62,12.08,-0.17%,-0.74%,0.58%,2409200
57,"CSTM","Constellium N.V","Industrial Goods","Metal Fabrication","Netherlands",643.43,,6.10,0.83%,1933900,57,"CSTM",0.66,0.49,-19.10%,-17.06%,-1.99%,-31.07%,51.74%,32.34,6.10,0.83%,1.67%,-0.83%,1933900
58,"GCI","Gannett Co., Inc.","Services","Publishing - Newspapers","USA",920.00,18.33,8.10,-0.25%,1724800,58,"GCI",,0.28,-2.94%,-9.23%,-23.78%,-51.43%,15.13%,38.89,8.10,-0.25%,-0.61%,0.37%,1724800
59,"SCOR","comScore, Inc.","Services","Business Services","USA",1249.29,,21.85,-0.64%,191909,59,"SCOR",,0.75,-4.97%,-19.65%,-24.39%,-37.30%,5.00%,32.30,21.85,-0.64%,-0.46%,-0.18%,191909
60,"RRD","R.R. Donnelley & Sons Company","Services","Business Services","USA",953.86,,13.65,0.66%,4218600,60,"RRD",1.50,0.65,-15.60%,-18.45%,-19.45%,-43.68%,3.88%,27.74,13.65,0.66%,0.74%,-0.07%,4218600
61,"GES","Guess', Inc.","Services","Apparel Stores","USA",953.27,14.87,11.30,4.15%,8254300,61,"GES",0.59,0.56,-9.23%,-10.25%,-18.86%,-38.50%,9.82%,37.68,11.30,4.15%,3.48%,0.65%,8254300
62,"KBR","KBR, Inc.","Services","Technical Services","USA",2026.04,,14.18,-1.46%,1850400,62,"KBR",1.34,0.40,-6.38%,-12.28%,-7.08%,-20.21%,19.22%,31.63,14.18,-1.46%,-1.39%,-0.07%,1850400
